sku;name_th;name;;;description;unit_value;unit;price;manufacturer;category;category2;category3;is_volume_buy
5001000031;น้ำตาลแร่ธรรมชาติ มิตรผล(1kgx5);Caramel Granulated Sugar (Mitr Phol Brand) (1kgx5);;;;1;แพ็ค;198;;มิตรผล;เครื่องปรุง;น้ำตาล;No
5001000032;เต้าเจี้ยว ยูเอฟซี (850g*3);Salted Soy Bean ( UFC Brand) (850g*3);;;;1;แพ็ค;128;;ยูเอฟซี;เครื่องปรุง;เต้าเจี้ยว;No
5001000033;วุ้นเส้น ต้นสน (500g*1);Vermicelli (Ton Son Brand) (500g*1);;;;1;แพ็ค;81;;ต้นสน;เครื่องปรุง;วุ้นเส้น;No
5001000034;วุ้นเส้น ต้นสน (80g*10);Vermicelli (Ton Son Brand) (80g*10);;;;1;แพ็ค;146;;ต้นสน;เครื่องปรุง;วุ้นเส้น;No
5001000035;ครีมเทียมข้นหวาน คาร์เนชั่น 2 กก.(2Kg.*8);Sweeten Condense Cremmer (Carnation Brand)  (2Kg.*8);;;;1;แพ็ค;830;;คาร์เนชั่น;เครื่องปรุง;ครีมเทียม;No
5001000036;ครีมเทียมข้นหวาน คาร์เนชั่น 388 กรัม(388g.*48);Sweeten Condense Cremmer (Carnation Brand)  (388g.*48);;;;1;แพ็ค;1048;;คาร์เนชั่น;เครื่องปรุง;ครีมเทียม;No
5001000037;น้ำจิ้มไก่แม่ประนอม 5000 กรัม (5000 g*1)  ;Sweet Chilli Thai Paste (Mae Pranom Brand) (5000 g*1);;;;1;แพ็ค;321;;แม่ประนอม;เครื่องปรุง;น้ำจิ้ม;No
5001000038;ครีมสลัด คิวพี ขนาด 1000 ml. (1000 มล.*1);KEWPIE Salad Cream (1000 ml*1);;;;1;แพ็ค;;;คิว พี;เครื่องปรุง;น้ำครีมสลัด;No
5001000039;มายองเนส  มายด์ ไทป์ คิวพี  ขนาด 1000 ml. (1000 มล.*1);KEWPIE Mayonnise Mild Type;;;;1;แพ็ค;;;คิว พี;เครื่องปรุง;น้ำครีมสลัด;No
5001000040;มายองเนส สูตรญี่ปุ่น คิวพี  ขนาด 1000 ml. (1000 มล.*1);KEWPIE Mayonnise - Japanese Style;;;;1;แพ็ค;;;คิว พี;เครื่องปรุง;น้ำครีมสลัด;No
5001000041;น้ำมันมะกอกบริสุทธิ์พิเศษ 500 มล. (500ml.*1);Extra Virgin Olive Oil ;;;;1;แพ็ค;;;ลาแลมบลา;เครื่องปรุง;น้ำมัน;No
5001000042;น้ำมันมะกอกบริสุทธิ์ 100 %  500 มล. (500ml.*1); Olive Oil 100 % Pure;;;;1;แพ็ค;;;ลาแลมบลา;เครื่องปรุง;น้ำมัน;No
5001000043;ซอสพริก ไฮน์ 300 กรัม (300กรัม.*6);Chilli Sauce (Heinz Brand) (300 g*6);;;;1;แพ็ค;154;;ไฮน์;เครื่องปรุง;ซอสพริก;No
5001000044;น้ำปลาปลาหมึก 4500 ซี.ซี (4500ccx3);Squid Brand Fish Sauce Gallon 4500 cc (4500ccx3);;;;1;แพ็ค;450;;ปลาหมึก;เครื่องปรุง;ซอสปรุงรส;No
5001000045;น้ำปลาปลาหมึก 4500 ซี.ซี เหลือง (4500ccx3);Squid Brand Fish Sauce Gallon 4500 cc (Yellow) (4500ccx3);;;;1;แพ็ค;375;;ปลาหมึก;เครื่องปรุง;ซอสปรุงรส;No
5001000046;น้ำปลาปลาหมึกขวดเพท (เหลือง) (700ccx12);Squid Brand Fish Sauce Pet 700 cc (Yellow) (700ccx12);;;;1;แพ็ค;250;;ปลาหมึก;เครื่องปรุง;ซอสปรุงรส;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
;;;;;;1;;;;;;;No
