sku;name_th;name;;;description;unit_value;unit;price;manufacturer;category;category2;category3;is_volume_buy
1001000002;มะนาว (เบอร์ 500);Lemon (size 500);;;;1;ลูก;5;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000003;มะนาว (เบอร์ 400);Lemon (size 500);;;;1;ลูก;4;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000004;หัวไชเท้าเบอร์สวย;White Radish (Good grade);;;;1;กก.;65;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000005;แครอทนอก ไซต์ L (3ลูก/กก.);Imported Carrot (Size L);;;;1;กก.;80;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000006;พริกยักษ์เหลืองเกรดเอ ไซต์( 5-6 ลูก/กก.);Yellow Sweet Pepper (Grade A size5-6/kg);;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000007;พริกยักษ์เขียวเกรดเอ;Green Sweet Pepper Grade A ;5-6 ลูก;5-6 pc.;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000008;พริกยักษ์แดงเบอร์ A ( 5-6 ลูก/กก.);Red Sweet Pepper (Grade A size 5-6/kg);;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000009;ผักกาดแก้ว;Lettuce;;;;1;กก.;120;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000010;บล็อคโคลี่นอก;Broccoli ;;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000011;มะเขือเทศราชินีนอก/เชอรี่;Imported Cherry Tomato; Baby tomato;;;1;กก.;120;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000012;เห็ดแชมปิญองสด (1 kg.);Fresh Champagne Mushrooms;;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000013;ผักกรีนโอ๊ค;Green Oak;;;;1;กก.;120;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000014;ผักเรดโอ๊ค;Red Oak;;;;1;กก.;120;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000015;ผักคอส (Romaine lettuce);Cos;;;;1;กก.;120;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000016;ผักบัตเตอร์เฮด ;Butterhead;;;;1;กก.;120;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000017;มะเขือม่วงก้านเขียวใหญ่;Purple Egg Plant (Large);;;;1;กก.;55;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000018;พริกชี้ฟ้าแดง;Red Chilli;;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000019;มะกรูด;Lemon Grass;;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000020;มะละกอดิบพันธุ์ดำเนิน;Raw Payaya (Damnern);;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000021;ข้าวโพดฝักดิบปอกเปลือก (ประมาณ 3 ฝัก/kg.;Raw Corn (no peel) 3pcs/kg;;;;1;กก.;/;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000022;แตงร้าน;Long Cucumber;;;;1;กก.;65;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000023;แตงกวากลาง;Cucumber (medium);;;;1;กก.;65;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
1001000024;แตงกวาเล็ก;Cucumber (small);;;;1;กก.;60;คิงเฟรทฟาร์ม;อาหารสด;ผักสด;;No
